planta,provincia,localidad,direccion,tipo_empresa,tipo_sustrato,georeferenciado,geojson
solamb SRL,Santa Fe,Timbues,Calle Espana 7221,Privada,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-60.78756,-32.62284]}"
Particular (Ing. Fabian Cabrera),Salta,Centro,Laprida 351. ,Particular,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.425195,-24.793269]}"
Citricola San Miguel,Tucuman,Famailla,Ruta 301 km 32,Privada,Desecho Indust.,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.402752,-27.054189]}"
Cushamen,Chubut,Maiten,Sin direccion,Particular,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-71.174938,-42.052927]}"
Biopis,La pampa,General Pico,Las lomas (10km de Pico),Privada,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-63.757343,-35.660439]}"
Compania Industrial Cervecera (CIC SA),Santa Fe,Santa Fe,Calchines 1401,Privada,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-60.69261,-31.64397]}"
Quilmes,Buenos Aires,Zarate,"Ruta Nacional N 9 Km 94,5",Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-59.14361,-34.10222]}"
Quilmes,Buenos Aires,Zarate,"Ruta Nacional N 9 Km 94,5",Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-59.14361,-34.10222]}"
UNCUYO,Mendoza,Lujan de Cuyo,Facultad de Ciencias Agrarias,Publica,Desecho Agricultura,,"{""type"":""Point"",""coordinates"":[-68.872598,-33.006881]}"
LEDESMA,Jujuy,Lib. Gral San Martin,Complejo agroindustrial Ledesma,Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-64.788863,-23.82585]}"
ADCADIS,Entre Rios,Colon,Bv. Ferrari 638,Publica,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-58.139458,-32.230151]}"
Penitenciaria de Santa Rosa,La pampa,Santa Rosa,Mitre (completar),Publica,Desecho Ganaderia,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-64.262361,-36.615365]}"
Escuela Pueblo Moreno,Entre Rios,Cerrito,Santa Fe 85,Publica,Desecho Urbano,A nivel localidad,"{""type"":""Point"",""coordinates"":[-60.075982,-31.575532]}"
Dehuin Zonatto,Neuquen,Plottier,Colonia China Muerta,Particular,Desecho Agricultura,A nivel localidad,"{""type"":""Point"",""coordinates"":[-68.229097,-38.947483]}"
Molinos Juan Semino SA,Santa Fe,Carcarana,Bv. Americano S/N,Privada,Desecho Indust.,A nivel localidad,"{""type"":""Point"",""coordinates"":[-61.151668,-32.856199]}"
DPA,Rio Negro,Cipolletti,Zona Periurbana (sin especificar),Publica,Desecho Urbano,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.138206,-26.847486]}"
La Magdalena Estancia SRL,La pampa,Ataliba Roca,Zona Rural (Sin especificar),Publica,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-64.285547,-37.031559]}"
