PERÍODO;EMPRESA;LOCALIDAD;PROVINCIA;INSUMO;CUPO TOTAL ASIGNADO ;PRODUCCIÓN ;VENTAS TOTALES ;PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.);PETROBRAS ARGENTINA S.A.;FOX PETROL S.A.;REFINERÍA DEL NORTE S.A.;SHELL ARGENTINA C.A.P.S.A.;YPF S.A.;ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.;OIL COMBUSTIBLES S.A.;TRAFIGURA ARGENTINA S.A.;REFI PAMPA S.A.;;
may-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.083 ;3.636 ;4.093 ;623 ;0 ;0 ;0 ;693 ;2.116 ;139 ;522 ;0 ;0 ;;
may-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.400 ;253 ;292 ;0 ;0 ;0 ;0 ;0 ;292 ;0 ;0 ;0 ;0 ;;
may-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;2.000 ;1.215 ;1.214 ;0 ;36 ;0 ;417 ;0 ;722 ;0 ;38 ;0 ;0 ;;
may-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;2.063 ;2.009 ;1.198 ;0 ;0 ;0 ;590 ;0 ;0 ;221 ;0 ;0 ;;
may-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;800 ;0 ;778 ;0 ;0 ;0 ;0 ;293 ;485 ;0 ;0 ;0 ;0 ;;
jun-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.250 ;6.013 ;3.732 ;225 ;0 ;0 ;0 ;1.835 ;1.672 ;0 ;0 ;0 ;0 ;;
jun-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;300 ;0 ;77 ;0 ;0 ;0 ;0 ;0 ;77 ;0 ;0 ;0 ;0 ;;
jun-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;1.300 ;1.138 ;0 ;0 ;0 ;0 ;0 ;1.138 ;0 ;0 ;0 ;0 ;;
jun-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.000 ;2.281 ;1.014 ;679 ;335 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
jun-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.083 ;2.541 ;3.594 ;623 ;0 ;0 ;0 ;765 ;1.802 ;72 ;333 ;0 ;0 ;;
jun-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.400 ;3.384 ;1.497 ;0 ;0 ;0 ;0 ;0 ;1.497 ;0 ;0 ;0 ;0 ;;
jun-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;5.000 ;4.545 ;3.495 ;0 ;38 ;0 ;651 ;0 ;2.362 ;0 ;444 ;0 ;0 ;;
jun-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;2.101 ;2.003 ;1.188 ;0 ;0 ;0 ;481 ;0 ;0 ;334 ;0 ;0 ;;
jun-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.000 ;229 ;848 ;0 ;0 ;0 ;0 ;443 ;405 ;0 ;0 ;0 ;0 ;;
jul-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.250 ;6.974 ;4.398 ;379 ;0 ;0 ;0 ;2.268 ;1.751 ;0 ;0 ;0 ;0 ;;
jul-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;500 ;555 ;262 ;0 ;0 ;0 ;0 ;0 ;262 ;0 ;0 ;0 ;0 ;;
jul-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;1.507 ;673 ;0 ;0 ;0 ;0 ;0 ;673 ;0 ;0 ;0 ;0 ;;
jul-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.000 ;2.688 ;1.156 ;530 ;627 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
jul-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.083 ;4.174 ;4.003 ;623 ;0 ;0 ;0 ;840 ;2.056 ;0 ;485 ;0 ;0 ;;
jul-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.516 ;4.447 ;1.502 ;0 ;0 ;0 ;0 ;0 ;1.502 ;0 ;0 ;0 ;0 ;;
jul-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;5.000 ;4.440 ;4.260 ;0 ;437 ;0 ;586 ;0 ;2.760 ;0 ;477 ;0 ;0 ;;
jul-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;2.220 ;1.893 ;1.087 ;0 ;0 ;0 ;548 ;0 ;0 ;258 ;0 ;0 ;;
jul-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;800 ;1.504 ;803 ;0 ;0 ;0 ;0 ;517 ;286 ;0 ;0 ;0 ;0 ;;
